compound,negative,neutral,positive
0.4404,0.0,0.408,0.592
0.7906,0.0,0.143,0.857
0.4404,0.0,0.707,0.293
0.0,0.0,1.0,0.0
-0.743,0.364,0.636,0.0
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
0.4404,0.0,0.408,0.592
0.0,0.0,1.0,0.0
-0.8449,0.474,0.526,0.0
0.555,0.0,0.626,0.374
0.0,0.0,1.0,0.0
0.4767,0.0,0.244,0.756
0.5267,0.0,0.638,0.362
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7763,0.161,0.515,0.324
0.0,0.0,1.0,0.0
0.5766,0.117,0.613,0.27
-0.6597,0.423,0.577,0.0
0.2732,0.0,0.588,0.412
0.6449,0.0,0.584,0.416
0.8689,0.0,0.38,0.62
0.0,0.0,1.0,0.0
0.7332,0.092,0.599,0.309
0.0,0.0,1.0,0.0
0.659,0.0,0.313,0.687
0.0,0.0,1.0,0.0
0.5696,0.0,0.521,0.479
0.0,0.0,1.0,0.0
0.4939,0.0,0.652,0.348
-0.8225,0.434,0.495,0.071
-0.4767,0.256,0.744,0.0
0.0571,0.172,0.642,0.186
0.0,0.0,1.0,0.0
-0.4576,0.374,0.626,0.0
0.0,0.0,1.0,0.0
0.6588,0.0,0.313,0.687
0.5244,0.0,0.542,0.458
0.0,0.0,1.0,0.0
0.3182,0.0,0.827,0.173
-0.0772,0.412,0.206,0.381
0.4215,0.0,0.588,0.412
0.0,0.0,1.0,0.0
-0.2263,0.348,0.392,0.26
0.8829,0.066,0.573,0.361
0.8177,0.0,0.595,0.405
0.4404,0.0,0.408,0.592
-0.296,0.355,0.645,0.0
0.5719,0.0,0.448,0.552
0.5994,0.0,0.449,0.551
0.0,0.0,1.0,0.0
0.7506,0.0,0.584,0.416
0.765,0.0,0.431,0.569
0.3182,0.0,0.303,0.697
0.5994,0.075,0.717,0.208
0.0,0.0,1.0,0.0
0.296,0.0,0.312,0.688
0.0,0.0,1.0,0.0
-0.8316,0.45,0.55,0.0
0.34,0.0,0.294,0.706
0.2732,0.0,0.704,0.296
0.9423,0.0,0.624,0.376
0.4404,0.0,0.633,0.367
0.4404,0.0,0.58,0.42
0.6249,0.0,0.196,0.804
0.5224,0.0,0.675,0.325
0.1779,0.13,0.687,0.183
0.0,0.0,1.0,0.0
0.1531,0.22,0.5,0.28
0.0,0.0,1.0,0.0
-0.5423,0.778,0.222,0.0
-0.5423,0.189,0.811,0.0
-0.5423,0.467,0.533,0.0
0.803,0.0,0.659,0.341
-0.4753,0.308,0.535,0.157
-0.5423,0.467,0.533,0.0
0.7003,0.0,0.147,0.853
0.4404,0.0,0.633,0.367
0.4939,0.182,0.417,0.401
0.5994,0.0,0.647,0.353
0.0,0.0,1.0,0.0
-0.5423,0.412,0.588,0.0
0.0772,0.306,0.353,0.341
0.0,0.0,1.0,0.0
0.8316,0.067,0.494,0.439
0.5267,0.0,0.227,0.773
0.0,0.0,1.0,0.0
0.743,0.0,0.488,0.512
0.4003,0.0,0.722,0.278
0.0,0.0,1.0,0.0
0.3089,0.0,0.727,0.273
0.0,0.0,1.0,0.0
0.2263,0.0,0.612,0.388
-0.5423,0.226,0.774,0.0
0.7089,0.0,0.459,0.541
-0.6966,0.373,0.627,0.0
0.8335,0.075,0.344,0.581
0.7488,0.0,0.556,0.444
-0.5574,0.146,0.854,0.0
0.0,0.0,1.0,0.0
-0.5423,0.467,0.533,0.0
0.4767,0.0,0.492,0.508
-0.3182,0.108,0.892,0.0
0.4767,0.0,0.492,0.508
0.6135,0.0,0.428,0.572
0.8225,0.0,0.0,1.0
0.8534,0.074,0.613,0.313
0.0,0.0,1.0,0.0
0.6908,0.0,0.513,0.487
0.0,0.0,1.0,0.0
0.1779,0.272,0.37,0.358
-0.4019,0.08,0.92,0.0
-0.5423,0.538,0.462,0.0
0.2023,0.0,0.526,0.474
0.4767,0.0,0.492,0.508
0.7758,0.0,0.279,0.721
0.6486,0.0,0.569,0.431
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4019,0.31,0.69,0.0
-0.6808,0.261,0.739,0.0
0.8176,0.0,0.211,0.789
0.4215,0.221,0.385,0.394
0.4404,0.0,0.256,0.744
-0.5423,0.778,0.222,0.0
0.8176,0.0,0.261,0.739
0.5719,0.0,0.46,0.54
-0.5423,0.636,0.364,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.256,0.744
0.0,0.0,1.0,0.0
-0.128,0.222,0.593,0.185
0.7964,0.0,0.552,0.448
0.0,0.0,1.0,0.0
0.7003,0.0,0.147,0.853
0.5859,0.0,0.441,0.559
0.0,0.0,1.0,0.0
0.0772,0.263,0.4,0.337
0.6239,0.0,0.71,0.29
0.0,0.0,1.0,0.0
-0.5423,0.368,0.632,0.0
0.6726,0.0,0.734,0.266
0.0,0.0,1.0,0.0
0.4559,0.0,0.573,0.427
0.0,0.0,1.0,0.0
-0.0516,0.245,0.532,0.223
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.323,0.677
0.4215,0.0,0.517,0.483
-0.5423,0.412,0.588,0.0
-0.3071,0.317,0.683,0.0
-0.6249,0.459,0.541,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.0,1.0
0.4404,0.0,0.508,0.492
-0.7269,0.433,0.567,0.0
0.6114,0.0,0.501,0.499
0.3134,0.0,0.568,0.432
-0.4497,0.228,0.772,0.0
-0.7088,0.83,0.17,0.0
0.8948,0.0,0.582,0.418
-0.2244,0.208,0.792,0.0
0.0,0.0,1.0,0.0
0.6124,0.0,0.375,0.625
0.7227,0.0,0.713,0.287
0.2732,0.0,0.588,0.412
0.453,0.0,0.771,0.229
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2617,0.139,0.768,0.094
-0.5267,0.144,0.784,0.072
-0.1901,0.145,0.773,0.081
0.4374,0.199,0.459,0.343
-0.4939,0.762,0.238,0.0
-0.5267,0.63,0.37,0.0
0.5859,0.0,0.703,0.297
0.4588,0.0,0.571,0.429
0.2263,0.307,0.236,0.457
0.7639,0.0,0.515,0.485
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6742,0.525,0.475,0.0
0.4767,0.0,0.693,0.307
0.2225,0.159,0.59,0.251
0.5574,0.08,0.667,0.253
0.0,0.0,1.0,0.0
0.8856,0.154,0.385,0.461
0.7717,0.0,0.374,0.626
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7964,0.0,0.396,0.604
-0.296,0.145,0.855,0.0
0.5256,0.0,0.541,0.459
0.0,0.0,1.0,0.0
-0.8091,0.88,0.12,0.0
0.0,0.0,1.0,0.0
-0.5423,0.778,0.222,0.0
0.0,0.0,1.0,0.0
0.4588,0.0,0.625,0.375
0.5859,0.0,0.568,0.432
0.0,0.0,1.0,0.0
-0.4019,0.351,0.649,0.0
0.0,0.0,1.0,0.0
0.8068,0.103,0.509,0.388
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.128,0.233,0.485,0.282
0.0,0.0,1.0,0.0
0.8429,0.0,0.383,0.617
0.6616,0.0,0.475,0.525
0.1952,0.29,0.335,0.376
0.6884,0.0,0.72,0.28
-0.3182,0.324,0.476,0.2
0.0,0.0,1.0,0.0
-0.9134,0.536,0.464,0.0
0.4404,0.0,0.256,0.744
0.7351,0.0,0.446,0.554
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.9049,0.0,0.471,0.529
0.0,0.0,1.0,0.0
0.3446,0.252,0.334,0.414
0.5023,0.0,0.812,0.188
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
0.636,0.0,0.0,1.0
-0.3818,0.394,0.606,0.0
0.4939,0.0,0.882,0.118
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.508,0.319,0.681,0.0
-0.7404,0.511,0.489,0.0
0.4404,0.0,0.674,0.326
0.0,0.0,1.0,0.0
0.8313,0.0,0.338,0.662
0.6204,0.0,0.689,0.311
0.5766,0.0,0.349,0.651
0.0,0.0,1.0,0.0
0.4767,0.0,0.244,0.756
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7579,0.0,0.133,0.867
0.7841,0.0,0.303,0.697
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0772,0.226,0.522,0.252
-0.6548,0.268,0.598,0.134
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5267,0.0,0.227,0.773
0.4215,0.0,0.417,0.583
0.4247,0.188,0.611,0.201
-0.2023,0.287,0.492,0.221
0.7003,0.0,0.674,0.326
0.4902,0.0,0.386,0.614
0.0,0.0,1.0,0.0
0.4588,0.078,0.649,0.273
0.7125,0.0,0.549,0.451
0.4242,0.17,0.615,0.215
0.6249,0.126,0.558,0.316
0.4019,0.0,0.526,0.474
0.7178,0.0,0.3,0.7
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1531,0.213,0.61,0.177
0.0,0.0,1.0,0.0
0.2023,0.0,0.769,0.231
0.4404,0.0,0.408,0.592
-0.4215,0.237,0.763,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.678,0.322
0.3612,0.0,0.286,0.714
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6981,0.0,0.634,0.366
0.0,0.0,1.0,0.0
0.2716,0.051,0.856,0.094
0.431,0.0,0.584,0.416
0.765,0.0,0.233,0.767
-0.293,0.273,0.567,0.161
0.0,0.0,1.0,0.0
0.1045,0.345,0.273,0.382
0.7469,0.0,0.586,0.414
0.0,0.0,1.0,0.0
-0.079,0.324,0.381,0.295
-0.3818,0.307,0.526,0.167
-0.3818,0.394,0.606,0.0
0.5732,0.0,0.802,0.198
-0.3182,0.535,0.465,0.0
-0.296,0.355,0.645,0.0
0.8516,0.0,0.108,0.892
0.2732,0.0,0.488,0.512
0.3612,0.086,0.728,0.185
0.7718,0.0,0.584,0.416
0.4404,0.0,0.408,0.592
-0.5423,0.636,0.364,0.0
-0.6652,0.597,0.403,0.0
0.0,0.0,1.0,0.0
-0.6597,0.688,0.312,0.0
-0.7906,0.636,0.364,0.0
0.6369,0.0,0.488,0.512
-0.6408,0.809,0.191,0.0
0.0,0.0,1.0,0.0
-0.4374,0.155,0.781,0.063
0.34,0.0,0.714,0.286
-0.5423,0.538,0.462,0.0
0.4767,0.0,0.244,0.756
0.0,0.0,1.0,0.0
0.5267,0.0,0.227,0.773
0.34,0.0,0.676,0.324
0.4404,0.0,0.408,0.592
0.7184,0.0,0.455,0.545
0.5574,0.0,0.303,0.697
0.4404,0.0,0.58,0.42
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
-0.5423,0.692,0.308,0.0
0.5267,0.0,0.227,0.773
0.4824,0.0,0.561,0.439
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
-0.5423,0.778,0.222,0.0
0.707,0.0,0.254,0.746
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
0.068,0.133,0.717,0.15
0.4404,0.0,0.756,0.244
0.0,0.0,1.0,0.0
0.6006,0.0,0.606,0.394
0.4215,0.0,0.513,0.487
0.3612,0.0,0.615,0.385
0.0,0.0,1.0,0.0
-0.8001,0.544,0.456,0.0
0.7925,0.0,0.332,0.668
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4767,0.0,0.492,0.508
0.4754,0.0,0.564,0.436
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7326,0.16,0.528,0.312
0.0,0.0,1.0,0.0
-0.7906,0.7,0.3,0.0
-0.2023,0.427,0.244,0.329
0.2263,0.0,0.612,0.388
0.0,0.0,1.0,0.0
0.7184,0.0,0.25,0.75
0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
-0.296,0.688,0.312,0.0
0.0,0.0,1.0,0.0
0.34,0.0,0.455,0.545
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6103,0.0,0.501,0.499
-0.3071,0.429,0.571,0.0
0.34,0.112,0.68,0.208
0.5719,0.0,0.575,0.425
-0.5423,0.467,0.533,0.0
-0.296,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.408,0.592
0.0,0.0,1.0,0.0
0.5859,0.0,0.676,0.324
0.6249,0.0,0.541,0.459
0.5719,0.0,0.213,0.787
0.4767,0.0,0.631,0.369
0.0,0.0,1.0,0.0
-0.3167,0.364,0.636,0.0
0.5106,0.0,0.602,0.398
0.875,0.0,0.725,0.275
0.4404,0.0,0.256,0.744
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.892,0.0,0.508,0.492
0.5081,0.14,0.627,0.233
0.0,0.0,1.0,0.0
0.6996,0.0,0.702,0.298
0.2732,0.0,0.588,0.412
-0.1531,0.473,0.135,0.392
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.765,0.369,0.631,0.0
0.5574,0.0,0.179,0.821
0.0,0.0,1.0,0.0
0.044,0.353,0.279,0.368
0.0,0.0,1.0,0.0
0.6239,0.0,0.687,0.313
-0.5848,0.431,0.569,0.0
0.7444,0.0,0.429,0.571
-0.6242,0.271,0.729,0.0
0.9223,0.0,0.653,0.347
0.4767,0.0,0.244,0.756
0.8632,0.0,0.483,0.517
0.0,0.0,1.0,0.0
0.6369,0.0,0.755,0.245
0.2263,0.0,0.345,0.655
0.4404,0.0,0.508,0.492
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0382,0.253,0.482,0.265
0.2942,0.0,0.578,0.422
0.0,0.0,1.0,0.0
0.1429,0.104,0.764,0.132
-0.5256,0.629,0.371,0.0
0.0,0.0,1.0,0.0
-0.5423,0.778,0.222,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.588,0.412
0.0,0.0,1.0,0.0
0.363,0.096,0.776,0.128
0.4404,0.0,0.256,0.744
0.7499,0.039,0.802,0.159
0.4019,0.143,0.6,0.257
-0.1531,0.337,0.385,0.279
-0.34,0.444,0.556,0.0
0.0,0.0,1.0,0.0
0.34,0.0,0.844,0.156
0.774,0.0,0.677,0.323
-0.3818,0.271,0.729,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1027,0.164,0.643,0.193
0.0,0.0,1.0,0.0
0.6369,0.0,0.417,0.583
0.5267,0.0,0.227,0.773
0.8573,0.0,0.538,0.462
-0.3404,0.255,0.745,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1531,0.372,0.319,0.309
0.4404,0.0,0.791,0.209
-0.6597,0.468,0.532,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.656,0.344
0.7783,0.0,0.618,0.382
0.0,0.0,1.0,0.0
0.9117,0.0,0.556,0.444
0.831,0.0,0.391,0.609
0.4767,0.0,0.244,0.756
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6486,0.515,0.485,0.0
0.5777,0.0,0.445,0.555
0.0,0.0,1.0,0.0
-0.1531,0.372,0.319,0.309
-0.1027,0.53,0.0,0.47
0.0,0.0,1.0,0.0
0.4939,0.108,0.619,0.273
0.5707,0.0,0.468,0.532
0.0772,0.274,0.421,0.305
0.0,0.0,1.0,0.0
-0.296,0.423,0.577,0.0
0.4404,0.0,0.408,0.592
-0.1511,0.21,0.79,0.0
0.9497,0.036,0.68,0.284
0.8185,0.0,0.444,0.556
0.8522,0.0,0.646,0.354
0.0,0.0,1.0,0.0
0.913,0.0,0.664,0.336
0.8833,0.029,0.752,0.218
0.7269,0.08,0.643,0.277
0.0,0.0,1.0,0.0
0.8042,0.047,0.715,0.237
0.9531,0.022,0.669,0.309
0.8475,0.062,0.685,0.253
0.0,0.0,1.0,0.0
0.2263,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.2714,0.0,0.657,0.343
0.8271,0.0,0.65,0.35
0.0,0.0,1.0,0.0
0.5487,0.056,0.8,0.144
0.5719,0.0,0.654,0.346
0.7865,0.0,0.669,0.331
-0.1531,0.122,0.743,0.135
0.3182,0.0,0.0,1.0
-0.6249,0.186,0.759,0.055
0.9022,0.117,0.102,0.782
0.4005,0.076,0.759,0.165
0.4822,0.151,0.636,0.213
0.4019,0.0,0.27,0.73
0.5719,0.0,0.684,0.316
0.0,0.0,1.0,0.0
0.5355,0.0,0.669,0.331
-0.2617,0.362,0.34,0.298
-0.4767,0.279,0.721,0.0
0.0,0.0,1.0,0.0
0.1779,0.194,0.514,0.291
0.4559,0.0,0.813,0.187
0.0,0.0,1.0,0.0
-0.5574,0.217,0.783,0.0
0.0,0.0,1.0,0.0
0.7906,0.0,0.759,0.241
0.5859,0.0,0.345,0.655
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.839,0.161
0.0,0.0,1.0,0.0
0.25,0.0,0.882,0.118
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.636,0.364,0.0
0.0,0.0,1.0,0.0
0.0387,0.098,0.743,0.159
0.6988,0.0,0.509,0.491
-0.5423,0.412,0.588,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1531,0.242,0.758,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.836,0.0,0.31,0.69
0.0,0.0,1.0,0.0
0.6682,0.0,0.472,0.528
0.4215,0.0,0.517,0.483
-0.5859,0.375,0.625,0.0
0.4767,0.0,0.631,0.369
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.636,0.364,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.633,0.367
-0.1779,0.221,0.779,0.0
0.0,0.0,1.0,0.0
0.368,0.0,0.283,0.717
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5319,0.534,0.466,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5719,0.552,0.448,0.0
0.0,0.0,1.0,0.0
0.3695,0.0,0.663,0.337
-0.4767,0.237,0.763,0.0
0.0,0.0,1.0,0.0
0.4263,0.0,0.415,0.585
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6509,0.249,0.751,0.0
-0.296,0.239,0.761,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7326,0.507,0.493,0.0
-0.5809,0.295,0.705,0.0
-0.3071,0.138,0.862,0.0
-0.0772,0.157,0.843,0.0
-0.8487,0.415,0.585,0.0
0.228,0.0,0.852,0.148
0.0,0.0,1.0,0.0
-0.6369,0.13,0.87,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6956,0.0,0.693,0.307
-0.6114,0.444,0.556,0.0
0.0,0.0,1.0,0.0
0.1326,0.0,0.798,0.202
-0.2617,0.136,0.864,0.0
-0.5423,0.368,0.632,0.0
0.34,0.0,0.745,0.255
0.4215,0.0,0.417,0.583
0.4215,0.0,0.641,0.359
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.467,0.533,0.0
-0.7151,0.262,0.602,0.136
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4754,0.607,0.393,0.0
0.0,0.0,1.0,0.0
-0.296,0.524,0.476,0.0
0.0,0.0,1.0,0.0
0.6588,0.0,0.532,0.468
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
-0.5423,0.636,0.364,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0772,0.0,0.909,0.091
0.4215,0.0,0.588,0.412
0.0,0.0,1.0,0.0
0.4019,0.0,0.526,0.474
-0.896,0.267,0.733,0.0
-0.6369,0.426,0.574,0.0
-0.1779,0.252,0.551,0.197
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
-0.5423,0.412,0.588,0.0
0.0,0.0,1.0,0.0
-0.7264,0.325,0.588,0.086
0.0,0.0,1.0,0.0
-0.796,0.542,0.458,0.0
0.5267,0.0,0.595,0.405
-0.001,0.143,0.65,0.208
0.7003,0.074,0.556,0.37
-0.296,0.18,0.82,0.0
-0.4939,0.357,0.51,0.133
0.0,0.0,1.0,0.0
-0.0085,0.315,0.372,0.313
-0.5423,0.636,0.364,0.0
-0.1027,0.219,0.781,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6808,0.0,0.517,0.483
0.0,0.0,1.0,0.0
-0.6597,0.306,0.694,0.0
0.0,0.0,1.0,0.0
-0.5423,0.636,0.364,0.0
0.5719,0.0,0.684,0.316
0.0,0.0,1.0,0.0
0.2732,0.0,0.87,0.13
0.228,0.0,0.872,0.128
-0.6486,0.589,0.411,0.0
0.0,0.0,1.0,0.0
-0.5574,0.375,0.625,0.0
-0.5574,0.545,0.455,0.0
0.0,0.0,1.0,0.0
-0.7906,0.583,0.417,0.0
-0.5423,0.412,0.588,0.0
-0.4019,0.349,0.459,0.193
0.0772,0.0,0.698,0.302
0.4215,0.0,0.417,0.583
0.3612,0.0,0.737,0.263
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
0.25,0.0,0.846,0.154
-0.296,0.423,0.577,0.0
-0.8481,0.397,0.603,0.0
-0.0258,0.237,0.538,0.226
-0.5849,0.487,0.513,0.0
0.0,0.0,1.0,0.0
-0.5574,0.397,0.603,0.0
-0.7845,0.873,0.127,0.0
0.34,0.0,0.676,0.324
-0.1779,0.203,0.676,0.121
0.0,0.0,1.0,0.0
-0.4767,0.383,0.617,0.0
0.2755,0.0,0.826,0.174
-0.3802,0.564,0.436,0.0
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
-0.5423,0.368,0.632,0.0
0.5994,0.0,0.449,0.551
-0.6908,0.388,0.612,0.0
-0.8481,0.59,0.41,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5719,0.649,0.351,0.0
-0.7906,0.583,0.417,0.0
0.6124,0.0,0.545,0.455
-0.2498,0.2,0.8,0.0
0.3597,0.0,0.616,0.384
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.375,0.625,0.0
0.3612,0.0,0.667,0.333
0.0,0.0,1.0,0.0
-0.1531,0.302,0.698,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2263,0.289,0.496,0.215
-0.3182,0.315,0.685,0.0
-0.296,0.268,0.732,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7964,0.78,0.22,0.0
-0.7906,0.583,0.417,0.0
-0.5423,0.355,0.496,0.149
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.602,0.398
0.3612,0.0,0.828,0.172
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.304,0.696,0.0
-0.1027,0.196,0.633,0.171
0.6792,0.0,0.589,0.411
0.6884,0.0,0.735,0.265
0.0,0.0,1.0,0.0
0.8121,0.0,0.697,0.303
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4753,0.15,0.52,0.329
-0.6597,0.524,0.476,0.0
-0.296,0.516,0.484,0.0
0.0,0.0,1.0,0.0
-0.5095,0.292,0.708,0.0
-0.7003,0.648,0.156,0.195
0.0,0.0,1.0,0.0
-0.9468,0.777,0.223,0.0
0.0,0.0,1.0,0.0
-0.8225,0.417,0.583,0.0
-0.5848,0.558,0.442,0.0
-0.4019,0.574,0.426,0.0
-0.34,0.324,0.676,0.0
0.0,0.0,1.0,0.0
-0.6956,0.487,0.513,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.375,0.625,0.0
0.5362,0.0,0.782,0.218
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7436,0.512,0.488,0.0
0.0,0.0,1.0,0.0
-0.5423,0.538,0.462,0.0
-0.5423,0.636,0.364,0.0
-0.5423,0.636,0.364,0.0
-0.1779,0.24,0.579,0.182
0.3612,0.0,0.667,0.333
-0.5499,0.228,0.772,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4588,0.0,0.812,0.188
-0.4466,0.328,0.672,0.0
-0.0772,0.565,0.435,0.0
0.6249,0.0,0.661,0.339
0.3365,0.0,0.834,0.166
-0.5423,0.778,0.222,0.0
0.0,0.0,1.0,0.0
-0.6369,0.344,0.656,0.0
-0.5859,0.792,0.208,0.0
-0.5423,0.368,0.632,0.0
0.659,0.0,0.585,0.415
-0.5423,0.538,0.462,0.0
-0.5859,0.352,0.648,0.0
-0.5423,0.636,0.364,0.0
-0.296,0.398,0.341,0.261
-0.8047,0.42,0.58,0.0
-0.5423,0.304,0.696,0.0
-0.296,0.688,0.312,0.0
-0.5423,0.467,0.533,0.0
0.228,0.0,0.724,0.276
0.0,0.0,1.0,0.0
-0.8316,0.796,0.204,0.0
0.3804,0.0,0.536,0.464
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.588,0.412
-0.5423,0.778,0.222,0.0
0.3804,0.0,0.607,0.393
-0.34,0.375,0.625,0.0
0.0,0.0,1.0,0.0
-0.1531,0.444,0.556,0.0
-0.6597,0.468,0.532,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.296,0.355,0.645,0.0
-0.128,0.273,0.727,0.0
-0.5423,0.778,0.222,0.0
-0.5719,0.481,0.519,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6486,0.811,0.189,0.0
-0.6908,1.0,0.0,0.0
-0.5023,0.351,0.649,0.0
0.3612,0.0,0.444,0.556
0.0,0.0,1.0,0.0
-0.4019,0.474,0.526,0.0
-0.1779,0.362,0.638,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.636,0.364,0.0
-0.7906,0.5,0.5,0.0
-0.5859,0.545,0.455,0.0
-0.6956,0.442,0.558,0.0
-0.7906,0.636,0.364,0.0
0.5859,0.0,0.208,0.792
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1531,0.211,0.789,0.0
-0.5423,0.636,0.364,0.0
-0.5859,0.559,0.441,0.0
-0.5423,0.636,0.364,0.0
-0.2732,0.358,0.448,0.194
-0.4939,0.314,0.686,0.0
0.0772,0.0,0.86,0.14
0.0,0.0,1.0,0.0
-0.4767,0.383,0.617,0.0
